reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.N=1
param.gamma=0.001
iter=93, primal_obj=4372.27, best_primal_obj=6317.48, dual_obj=22154.4, relaxed_primal=22588.8, relaxed_dual=22154.5, grad_l2=11.5025, infea_inf(ratio=max/min)=e^(120.001), int_gap=662.012, pow_l1=9.05327e+10, time=156.419
iter=94, primal_obj=4953.93, best_primal_obj=6317.48, dual_obj=22149, relaxed_primal=22568.8, relaxed_dual=22149.1, grad_l2=12.1751, infea_inf(ratio=max/min)=e^(120.361), int_gap=660.799, pow_l1=9.11324e+10, time=158.098
iter=95, primal_obj=4552.16, best_primal_obj=6317.48, dual_obj=22143.3, relaxed_primal=22558.1, relaxed_dual=22143.4, grad_l2=11.501, infea_inf(ratio=max/min)=e^(120), int_gap=658, pow_l1=9.18075e+10, time=159.737
iter=96, primal_obj=5511.32, best_primal_obj=6317.48, dual_obj=22138.8, relaxed_primal=22550.8, relaxed_dual=22139, grad_l2=12.2637, infea_inf(ratio=max/min)=e^(120.591), int_gap=662.249, pow_l1=9.24224e+10, time=161.405
iter=97, primal_obj=4466.08, best_primal_obj=6317.48, dual_obj=22132.9, relaxed_primal=22631.5, relaxed_dual=22133, grad_l2=10.7363, infea_inf(ratio=max/min)=e^(120.002), int_gap=660.307, pow_l1=9.31284e+10, time=163.019
iter=98, primal_obj=4000.49, best_primal_obj=6317.48, dual_obj=22128.3, relaxed_primal=22583.7, relaxed_dual=22128.4, grad_l2=12.3438, infea_inf(ratio=max/min)=e^(120), int_gap=662, pow_l1=9.36576e+10, time=164.7
iter=99, primal_obj=4860.1, best_primal_obj=6317.48, dual_obj=22122.9, relaxed_primal=22548.9, relaxed_dual=22122.9, grad_l2=11.3062, infea_inf(ratio=max/min)=e^(120), int_gap=658.997, pow_l1=9.4368e+10, time=166.315
iter=100, primal_obj=4648.24, best_primal_obj=6317.48, dual_obj=22117.7, relaxed_primal=22586, relaxed_dual=22117.8, grad_l2=12.2341, infea_inf(ratio=max/min)=e^(120.593), int_gap=662.4, pow_l1=9.49413e+10, time=167.983
iter=101, primal_obj=4755.18, best_primal_obj=6317.48, dual_obj=22110.6, relaxed_primal=22525.6, relaxed_dual=22110.7, grad_l2=11.5447, infea_inf(ratio=max/min)=e^(120.004), int_gap=662.061, pow_l1=9.56374e+10, time=169.654
iter=102, primal_obj=4583.42, best_primal_obj=6317.48, dual_obj=22109.2, relaxed_primal=22568.5, relaxed_dual=22109.3, grad_l2=12.037, infea_inf(ratio=max/min)=e^(120.12), int_gap=657.78, pow_l1=9.62422e+10, time=171.319
iter=103, primal_obj=4833.07, best_primal_obj=6317.48, dual_obj=22101.4, relaxed_primal=22544.9, relaxed_dual=22101.5, grad_l2=11.0932, infea_inf(ratio=max/min)=e^(120), int_gap=662.999, pow_l1=9.69244e+10, time=172.955
