reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.avg_domain_size=154.378
prob.N=1
param.rho=1
param.eta=1
@0: T=37, n=15506754, nf=0, m=0, me=205669
iter=480, #inner=259, relaxed-p-obj=13965.12, decoded_t=9368.297, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00059, gap=0.051, nnz=52650(0.0038), time=2.1e+03
iter=485, #inner=261, relaxed-p-obj=13961.86, decoded_t=9368.297, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.0063, gap=0.051, nnz=51573(0.0038), time=2.1e+03
iter=490, #inner=266, relaxed-p-obj=13957.67, decoded_t=9368.297, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.00032, gap=0.05, nnz=51444(0.0038), time=2.2e+03
iter=495, #inner=265, relaxed-p-obj=13969.52, decoded_t=9368.297, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.003, gap=0.049, nnz=51373(0.0038), time=2.2e+03
iter=500, #inner=268, relaxed-p-obj=13998.5, decoded_t=9081.958, best_decoded=10194.21, eta=1, p_inf=0.12, d_inf=0.0032, gap=0.046, nnz=50358(0.0037), time=2.2e+03
iter=505, #inner=268, relaxed-p-obj=14006.27, decoded_t=9115.323, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.01, gap=0.044, nnz=50237(0.0037), time=2.2e+03
iter=510, #inner=268, relaxed-p-obj=13998.65, decoded_t=9620.843, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.00053, gap=0.044, nnz=50867(0.0037), time=2.2e+03
iter=515, #inner=265, relaxed-p-obj=14002.35, decoded_t=9620.843, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.0075, gap=0.043, nnz=51476(0.0038), time=2.2e+03
iter=520, #inner=265, relaxed-p-obj=14017.2, decoded_t=9631.566, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.00078, gap=0.042, nnz=51421(0.0038), time=2.3e+03
iter=525, #inner=264, relaxed-p-obj=14036.14, decoded_t=9838.212, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.00022, gap=0.04, nnz=52057(0.0038), time=2.3e+03
iter=530, #inner=261, relaxed-p-obj=14032.96, decoded_t=9838.212, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.0026, gap=0.039, nnz=52155(0.0038), time=2.3e+03
