reading loguai file ../../../data/107network//107network.loguai2
#factors=1864
reading function tables.done reading loguai file
normalizing #tables=189
done normalizing
prob.N=1
param.gamma=0.0001
iter=82, primal_obj=3709, best_primal_obj=3733, dual_obj=3733.75, relaxed_primal=3731.01, relaxed_dual=3733.75, grad_l2=0.978301, infea_inf(ratio=max/min)=e^(120), int_gap=240.516, pow_l1=inf, time=16558.1
iter=83, primal_obj=3685.5, best_primal_obj=3733, dual_obj=3733.68, relaxed_primal=3730.99, relaxed_dual=3733.68, grad_l2=1.16931, infea_inf(ratio=max/min)=e^(121.609), int_gap=287.277, pow_l1=inf, time=16714.9
iter=84, primal_obj=3726, best_primal_obj=3733, dual_obj=3733.66, relaxed_primal=3732, relaxed_dual=3733.67, grad_l2=0.982343, infea_inf(ratio=max/min)=e^(120), int_gap=186.582, pow_l1=inf, time=16870.5
iter=85, primal_obj=3730, best_primal_obj=3733, dual_obj=3733.67, relaxed_primal=3733, relaxed_dual=3733.67, grad_l2=0.905957, infea_inf(ratio=max/min)=e^(121.609), int_gap=199.218, pow_l1=inf, time=17027.3
iter=86, primal_obj=3731, best_primal_obj=3733, dual_obj=3733.69, relaxed_primal=3732.79, relaxed_dual=3733.7, grad_l2=0.94374, infea_inf(ratio=max/min)=e^(120.078), int_gap=156.815, pow_l1=inf, time=17184.7
iter=87, primal_obj=3676, best_primal_obj=3733, dual_obj=3733.69, relaxed_primal=3730.06, relaxed_dual=3733.7, grad_l2=0.934723, infea_inf(ratio=max/min)=e^(121.609), int_gap=311.361, pow_l1=inf, time=17342.3
iter=88, primal_obj=3731, best_primal_obj=3733, dual_obj=3733.68, relaxed_primal=3733.01, relaxed_dual=3733.69, grad_l2=1.14419, infea_inf(ratio=max/min)=e^(120), int_gap=156.537, pow_l1=inf, time=17499.2
iter=89, primal_obj=3709.8, best_primal_obj=3733, dual_obj=3733.68, relaxed_primal=3732.09, relaxed_dual=3733.69, grad_l2=0.873604, infea_inf(ratio=max/min)=e^(121.609), int_gap=185.563, pow_l1=inf, time=17657.9
iter=90, primal_obj=-2e+300, best_primal_obj=3733, dual_obj=3733.69, relaxed_primal=3729, relaxed_dual=3733.7, grad_l2=0.947694, infea_inf(ratio=max/min)=e^(120), int_gap=254.596, pow_l1=inf, time=17813.5
iter=91, primal_obj=-2e+300, best_primal_obj=3733, dual_obj=3733.66, relaxed_primal=3733, relaxed_dual=3733.67, grad_l2=0.908188, infea_inf(ratio=max/min)=e^(121.609), int_gap=275.274, pow_l1=inf, time=17969.9
