reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.avg_domain_size=21
prob.N=1
param.rho=1
param.eta=1
@0: T=226, n=276402, nf=0, m=0, me=26098
iter=535, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=9.9e-13, gap=1.5e-13, nnz=842(0.0061), time=18
iter=540, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=8.6e-14, nnz=842(0.0061), time=18
iter=545, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=8e-14, nnz=842(0.0061), time=18
iter=550, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.2e-13, d_inf=1e-12, gap=1.5e-14, nnz=842(0.0061), time=18
iter=555, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.5e-13, d_inf=9.9e-13, gap=8.9e-14, nnz=842(0.0061), time=18
iter=560, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.3e-13, d_inf=1e-12, gap=1.1e-13, nnz=842(0.0061), time=18
iter=565, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.2e-13, d_inf=1e-12, gap=3.4e-14, nnz=842(0.0061), time=18
iter=570, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=3.2e-14, nnz=842(0.0061), time=19
iter=575, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=9.9e-13, gap=8.6e-15, nnz=842(0.0061), time=19
iter=580, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.5e-13, d_inf=1e-12, gap=7e-15, nnz=842(0.0061), time=19
iter=585, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=1.1e-14, nnz=842(0.0061), time=19
iter=590, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=3.2e-14, nnz=842(0.0061), time=19
iter=595, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.7e-13, d_inf=9.9e-13, gap=5.8e-14, nnz=842(0.0061), time=19
iter=600, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=9.9e-13, gap=1.5e-14, nnz=842(0.0061), time=20
iter=605, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=1e-12, gap=8.3e-14, nnz=842(0.0061), time=20
iter=610, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=5.7e-14, nnz=842(0.0061), time=20
iter=615, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.4e-13, d_inf=9.9e-13, gap=2e-14, nnz=842(0.0061), time=20
